"leadId","groupCode","taalkMarket","state","campaignId","campaignName","requestNo","status","inserted","updated","error"
"20975618","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20975778","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"21054590","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20967228","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20966924","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20967867","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20967825","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20968752","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20968840","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20969114","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20969132","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20969254","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20970075","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20968865","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20969113","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20969849","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20628821","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20638870","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20633584","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20641462","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20644962","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20657801","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20812705","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20935788","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20935297","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20935791","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20935581","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20936802","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20937076","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20936869","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20937153","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20937325","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938048","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938518","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938536","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938319","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938476","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938525","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938527","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938286","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938524","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20938731","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20939634","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20939868","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20939897","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940204","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940182","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940246","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940602","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940604","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940688","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940696","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940985","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941049","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941196","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941363","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940016","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940248","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20940918","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941000","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941412","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941621","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941523","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941745","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20942075","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941721","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941966","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20942045","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20941930","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20945987","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20957843","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958169","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958375","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958394","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958813","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958859","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958951","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959014","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959007","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959047","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959062","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959191","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959351","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959378","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959427","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959441","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959848","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959777","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959620","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959383","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20960128","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959774","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959784","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20960013","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959877","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20960320","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959243","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959704","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20958776","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","1","success","0","150",""
"20959966","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20960838","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961070","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961161","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961377","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961444","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961330","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961308","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20960759","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961772","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961952","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962008","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962318","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962424","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962418","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20961774","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962931","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962900","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20963087","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20963045","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20963257","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20963514","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20963994","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20963878","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20962937","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20964474","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20964537","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20983339","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20983032","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21006616","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21046026","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21046578","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21046821","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047206","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047221","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047293","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047498","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047908","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047673","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047843","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047810","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047873","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047906","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21048113","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047631","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21048565","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047839","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21048426","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
