campaignId,campaignName,state,type
677ab96127b78ac01f4c0f9f,"Globe-VN-SD",SD,VN
677ab97027b78ac01f4c1094,"Globe-VN-TN",TN,VN
677ab97b27b78ac01f4c113d,"Globe-VN-TX",TX,VN
677abb5d27b78ac01f4c269c,"Globe-VN-UT",UT,VN
677abb8027b78ac01f4c2908,"Globe-VN-VA",VA,VN
677abb7227b78ac01f4c2808,"Globe-VN-VT",VT,VN
677abc1627b78ac01f4c3298,"Globe-VN-WA",WA,VN
677abc3727b78ac01f4c3496,"Globe-VN-WI",WI,VN
677abc2327b78ac01f4c3357,"Globe-VN-WV",WV,VN
677abc4727b78ac01f4c3587,"Globe-VN-WY",WY,VN
