State,Market,TotalAgents,CampaignID,HourDial
CO,Globe,9,677ab31727b78ac01f4bbd6c,78
CO,Will Kit,6,677abe0127b78ac01f4c4cb8,52
DE,Vet,7,67771027e345699491e6cc2a,60
DE,Will Kit,5,677abe3827b78ac01f4c5025,43
FL,Vet,17,6777104ee345699491e6d012,147
FL,Globe,6,677ab38727b78ac01f4bc35a,52
FL,Will Kit,8,677abe5627b78ac01f4c51fb,69
ID,Vet,8,67771090e345699491e6d5fc,69
IL,Vet,7,677710a8e345699491e6d8bf,60
IL,Globe,10,677ab42c27b78ac01f4bc936,86
IL,Will Kit,5,677abef027b78ac01f4c5dc4,43
KY,Vet,9,67771231e345699491e6f553,78
KY,Will Kit,5,677abfe427b78ac01f4c6736,43
MD,Vet,12,67771276e345699491e6fb9b,103
MD,Globe,10,677ab4b127b78ac01f4bd221,86
MD,Will Kit,8,677ac07e27b78ac01f4c71ec,69
MI,Vet,21,677712aee345699491e700ae,181
MI,Globe,8,677ab4da27b78ac01f4bd4a0,69
MI,Will Kit,12,677ac0ce27b78ac01f4c7798,103
MO,Vet,9,677712e1e345699491e70544,78
MO,Will Kit,5,677ac11a27b78ac01f4c7c47,43
NC,Vet,18,677714c6e345699491e72bc6,155
NC,Globe,13,677ab81827b78ac01f4c015a,112
NC,Will Kit,11,677ac1b427b78ac01f4c7fc0,95
NC,Womens,5,67847e9f477432a7c853f1f5,43
NM,Vet,10,67771472e345699491e7241a,86
NM,Globe,6,677ab7eb27b78ac01f4bffc1,52
NM,Will Kit,6,677ac19727b78ac01f4c7de2,52
NV,Vet,10,67771336e345699491e70d86,86
NV,Globe,5,677ab5a127b78ac01f4be170,43
NV,Will Kit,6,677ac15027b78ac01f4c7c89,52
OH,Vet,22,67771515e345699491e73442,190
OH,Globe,9,677ab88127b78ac01f4c02d9,78
OH,Will Kit,9,677ac1f827b78ac01f4c826a,78
OK,Vet,15,67771527e345699491e73757,129
OK,Will Kit,5,677ac20627b78ac01f4c8290,43
OR,Vet,12,67771534e345699491e738aa,103
OR,Globe,6,677ab8d927b78ac01f4c0693,52
OR,Will Kit,9,677ac21127b78ac01f4c8345,78
SC,Vet,14,677715a4e345699491e7435e,121
SC,Globe,8,677ab92f27b78ac01f4c0c39,69
SC,Will Kit,6,677ac24f27b78ac01f4c870c,52
SD,Vet,9,677715b5e345699491e744fe,78
SD,Will Kit,6,677ac25a27b78ac01f4c87ba,52
TN,Vet,14,677715d7e345699491e747c6,121
TN,Will Kit,6,677ac26527b78ac01f4c8872,52
TX,Vet,20,677715ede345699491e74897,172
TX,Globe,14,677ab97b27b78ac01f4c113d,121
TX,Will Kit,14,677ac27227b78ac01f4c8941,121
TX,Womens,5,67847eca477432a7c853f446,43
WA,Vet,19,67771634e345699491e74d90,164
WA,Globe,10,677abc1627b78ac01f4c3298,86
WA,Will Kit,12,677ac2b227b78ac01f4c8daa,103
WI,Vet,13,67771657e345699491e75b16,112
WI,Globe,5,677abc3727b78ac01f4c3496,43
WI,Will Kit,9,677ac2ce27b78ac01f4c8f50,78
WV,Vet,9,67771646e345699491e7545f,78
WV,Will Kit,7,677ac2c027b78ac01f4c8e88,60
MN,Vet,9,677712bfe345699491e70224,78
MN,Globe,6,677ab4e927b78ac01f4bd59a,52
MN,Will Kit,5,677ac0da27b78ac01f4c7857,43
AZ,Vet,17,67770dfde345699491e69d98,147
AZ,Globe,9,677ab18327b78ac01f4ba4e7,78
AZ,Will Kit,9,677abd5527b78ac01f4c4108,78
IA,Vet,9,677711ace345699491e6ee5c,78
IA,Will Kit,8,677abfad27b78ac01f4c63a9,69
AL,Vet,7,67770d61e345699491e695ca,60
AL,Will Kit,5,677ab0a727b78ac01f4b9a0f,43
GA,Vet,14,67771062e345699491e6d1bb,121
GA,Will Kit,9,677abe8727b78ac01f4c5590,78
IN,Vet,14,677710c5e345699491e6dc6f,121
IN,Globe,7,677ab43f27b78ac01f4bca84,60
IN,Will Kit,8,677abf3b27b78ac01f4c6240,69
MS,Vet,5,677712d0e345699491e703b7,43
MS,Will Kit,5,677ac10d27b78ac01f4c7bac,43
MT,Vet,6,677712f4e345699491e70703,52
ND,Vet,5,67771505e345699491e732b9,43
NE,Vet,7,67771325e345699491e70bb2,60
NE,Globe,5,677ab57727b78ac01f4bdef4,43
NE,Will Kit,6,677ac14427b78ac01f4c7c70,52
NJ,Vet,11,6777135ae345699491e71133,95
NJ,Globe,5,677ab6e627b78ac01f4bef52,43
NJ,Will Kit,8,677ac18b27b78ac01f4c7db3,69
PA,Vet,14,6777154ee345699491e73b48,121
PA,Globe,5,677ab91427b78ac01f4c0a18,43
PA,Will Kit,8,677ac21f27b78ac01f4c843e,69
UT,Vet,7,677715fde345699491e74921,60
UT,Will Kit,5,677ac27d27b78ac01f4c8a00,43
VA,Vet,24,67771621e345699491e74ba1,207
VA,Globe,10,677abb8027b78ac01f4c2908,86
VA,Will Kit,14,677ac29d27b78ac01f4c8c56,121
AK,Vet,8,67770de8e345699491e69ce2,69
AR,Vet,9,67770e13e345699491e69e66,78
AR,Will Kit,7,677abde327b78ac01f4c4ac4,60
DC,Vet,5,6777103be345699491e6ce05,43
DC,Will Kit,5,677abe4527b78ac01f4c50f4,43
HI,Vet,5,67771076e345699491e6d3d3,43
KS,Vet,8,677711cae345699491e6f00b,69
KS,Will Kit,5,677abfcd27b78ac01f4c65be,43
LA,Vet,10,67771246e345699491e6f723,86
LA,Will Kit,7,677ac01427b78ac01f4c6a6d,60
WY,Vet,6,6777166ae345699491e75ca4,52
VT,Vet,7,6777160de345699491e749d8,60
RI,Vet,5,67771587e345699491e74080,43
